rowId,name,discoveryMethod,discoveryYear,orbitalPeriod,mass,radius,distance,brightnessHostStar,number
1,11 Com b,Radial Velocity,2007,326.03,6165.6,12,93,4.74,1
2,11 UMi b,Radial Velocity,2009,516.21997,4684.8142,12,126,5.016,1
3,14 And b,Radial Velocity,2008,185.84,1525.5,13,76,5.227,1
4,14 Her b,Radial Velocity,2002,1773.40002,1481.0878,13,18,6.61,1
5,16 Cyg B b,Radial Velocity,1996,798.5,565.7374,14,21,6.25,1
6,18 Del b,Radial Velocity,2008,993.3,3273.5,13,76,5.506,1
7,1RXS J160929.1-210524 b,Imaging,2008,,3000,19,145,12.057,1
8,24 Boo b,Radial Velocity,2018,30.3506,289.2253,14,96,5.58,1
9,24 Sex b,Radial Velocity,2010,452.8,632.46,13,72,6.441,2
10,24 Sex c,Radial Velocity,2010,883,273.32,14,72,6.441,2
11,2MASS J01225093-2439505 b,Imaging,2013,,7786.5,11,36,14.24,1
12,2MASS J02192210-3925225 b,Imaging,2015,,4417.837,16,39,15.012,1
13,2MASS J04414489+2301513 b,Imaging,2010,,2383.6,13,140,18.967,1
14,2MASS J12073346-3932539 b,Imaging,2004,,1271,13,52,20.15,1
15,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,603.877,13,396,12.138,1
16,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,6657.48,10,25,17.396,1
17,2MASS J22362452+4751425 b,Imaging,2016,,3972.875,12,74,12.51,1
18,30 Ari B b,Radial Velocity,2009,335.10001,4392.4106,12,45,6.962,1
19,4 UMa b,Radial Velocity,2006,269.3,2256.5,13,74,4.61,1
20,42 Dra b,Radial Velocity,2008,479.1,1233.13,13,91,4.82,1
21,47 UMa b,Radial Velocity,1996,1078,804.08,13,14,5.05,3
22,47 UMa c,Radial Velocity,2001,2391,171.621,14,14,5.05,3
23,47 UMa d,Radial Velocity,2009,14002,521.22,14,14,5.05,3
24,51 Eri b,Imaging,2015,14965,635.66,13,29,5.23,1
25,51 Peg b,Radial Velocity,1995,4.230785,146.2018,14,15,5.5,1
26,55 Cnc b,Radial Velocity,1996,14.65152,263.9785,14,13,5.96,5
27,55 Cnc c,Radial Velocity,2004,44.4175,54.4738,9,13,5.96,5
28,55 Cnc d,Radial Velocity,2002,4825,1232.493,13,13,5.96,5
29,55 Cnc e,Radial Velocity,2004,0.736539,8.08,2,13,5.96,5
30,55 Cnc f,Radial Velocity,2007,262,44.812,8,13,5.96,5
31,6 Lyn b,Radial Velocity,2008,874.774,702.4043,13,55,5.855,1
32,61 Vir b,Radial Velocity,2009,4.215,5.1,2,9,4.74,3
33,61 Vir c,Radial Velocity,2009,38.021,18.2,4,9,4.74,3
